# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 400 Hz
# Recording started at: 2026-02-07 14:18:13.978
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
1.313015,-0.4624,0.3288,-0.3242,0.65
1.329914,0.1399,0.1634,-0.4356,0.49
1.332940,0.2084,0.3237,-0.8078,0.89
1.343309,-0.3769,0.4075,-0.9762,1.12
1.353802,-1.0490,0.4413,-0.5142,1.25
1.363409,-1.5569,0.7014,0.0792,1.71
1.378020,-1.6956,0.9129,0.5693,2.01
1.383722,-1.5081,1.2006,0.8115,2.09
1.396812,-0.9564,1.3575,0.8653,1.87
1.404007,-0.2572,1.3838,0.8364,1.64
1.415219,0.0827,1.3257,0.7627,1.53
1.429447,0.8113,1.0048,1.3028,1.83
1.434052,2.0106,0.8043,3.1401,3.81
1.447451,2.5575,0.5144,5.1937,5.81
1.461071,1.4418,0.2466,5.5667,5.76
1.464046,-0.2460,0.1642,4.5831,4.59
1.476851,-1.6504,-0.2730,3.3032,3.70
1.484136,-2.3103,-0.6479,1.9462,3.09
1.494204,-1.7256,-0.6961,0.5760,1.95
1.508284,-1.2888,-1.1477,-0.0025,1.73
1.514346,-0.8980,-1.4786,-0.2817,1.75
1.525395,-0.0240,-1.5426,-0.9279,1.80
1.534653,0.9264,-1.3073,-0.5980,1.71
1.545507,1.1387,-0.7064,-0.0603,1.34
1.566148,0.6400,-0.5103,0.1738,0.84
1.566410,-0.8734,-0.1444,0.8091,1.20
1.580692,-1.7306,0.2400,0.5216,1.82
1.585025,-2.1212,0.1582,-0.0296,2.13
1.595685,-2.1920,-0.2491,-0.5657,2.28
1.613111,-2.0218,-0.7588,-1.0076,2.38
1.615511,-1.7834,-1.3854,-1.0830,2.50
1.630711,-1.7602,-1.7871,-1.2328,2.79
1.635818,-2.1358,-2.1445,-1.4593,3.36
1.647415,-2.0050,-2.4014,-1.4548,3.45
1.666298,-1.3547,-3.0041,-0.8374,3.40
1.666506,-0.2208,-3.2371,-0.1391,3.25
1.676547,1.0273,-3.7651,0.0652,3.90
1.692148,1.9948,-3.7705,0.1518,4.27
1.696016,2.6196,-3.5489,0.1721,4.41
1.717505,2.6619,-3.2617,0.2919,4.22
1.717674,2.0707,-2.7108,0.5171,3.45
1.731729,1.5711,-1.8062,0.9345,2.57
1.736105,2.0058,-1.2891,1.3706,2.75
1.746717,2.9086,-0.0782,0.6901,2.99
1.759719,4.5717,0.3202,1.3191,4.77
1.766576,5.0893,0.6607,1.0336,5.24
1.778921,4.3291,-0.1457,0.8132,4.41
1.786399,1.8082,-0.3453,0.1025,1.84
1.796141,-1.5024,-0.4597,-0.2143,1.59
1.810374,-3.3082,-0.3347,-2.4811,4.15
1.816401,-3.1539,-1.2589,-4.2215,5.42
1.826682,-0.8993,-1.6600,-4.0707,4.49
1.837654,1.8491,-1.7331,-2.4526,3.53
1.847111,3.1322,-1.5874,-1.5926,3.86
1.866256,4.1631,-1.0498,-1.1563,4.45
1.868253,4.7455,-0.9064,-0.9740,4.93
1.886155,4.3135,-0.7815,-1.0091,4.50
1.887491,2.9375,-0.6925,-1.2346,3.26
1.897769,0.6673,-0.3811,-2.2039,2.33
1.918223,-0.1491,-0.4188,-1.7851,1.84
1.918416,0.3192,0.0064,-0.0048,0.32
1.936073,1.0016,0.3258,0.7523,1.29
1.938842,0.5672,1.4249,-1.4786,2.13
1.947573,1.2181,1.8454,-2.0108,2.99
1.968362,5.3149,2.5525,6.7166,8.94
1.968482,6.7299,4.4516,11.5271,14.07
1.981494,3.8608,4.1195,7.0217,9.01
1.992173,0.2358,3.7743,2.1203,4.34
1.998565,-2.0799,3.4110,-0.3577,4.01
2.010062,-3.9611,3.4038,-1.1754,5.35
2.017933,-4.3291,3.1327,0.2037,5.35
2.028265,-2.3703,3.1691,3.0116,4.97
2.045607,-0.2918,3.0881,5.6594,6.45
2.048376,1.3728,2.8708,6.6403,7.36
2.062843,2.0349,2.5207,6.3828,7.16
2.069731,1.3867,1.5342,4.8527,5.27
2.080402,0.5106,0.2184,1.0701,1.21
2.095672,0.4810,-0.5884,-4.2482,4.32
2.099235,0.6866,-1.5809,-7.7685,7.96
2.112114,0.7473,-1.6320,-4.3900,4.74
2.119653,0.8033,-2.1646,0.1878,2.32
2.130579,0.9163,-1.7532,3.1811,3.75
2.150315,-0.4910,-2.8281,4.2152,5.10
2.150523,0.3868,-2.0634,0.1972,2.11
2.165749,0.4026,-2.7598,-4.9651,5.69
2.169275,-1.1757,-2.7887,-4.0639,5.07
2.182874,-1.3100,-1.8537,-4.3760,4.93
2.196894,-1.9084,-2.3434,-4.2261,5.20
2.199583,-4.4487,-3.8797,-3.4225,6.82
2.212710,-5.4151,-3.8759,-3.6169,7.58
2.219818,-3.4802,-1.6279,-4.9503,6.27
2.229849,-0.4703,-0.3399,-4.7013,4.74
2.242869,2.0770,0.0503,-3.6255,4.18
2.249648,3.9500,0.2219,-2.0559,4.46
2.259798,6.0848,1.1235,-0.7262,6.23
2.270113,7.4435,0.7909,0.3547,7.49
2.279805,7.1026,-0.0394,1.2200,7.21
2.292355,5.2822,-0.3782,-0.2797,5.30
2.300049,3.4058,-0.3506,-3.2525,4.72
2.310927,1.7628,-0.5599,-5.6947,5.99
2.328933,0.5139,-0.5906,-5.4686,5.52
2.330481,0.0471,-0.4311,-1.9080,1.96
2.344619,-0.1524,-0.4429,0.8374,0.96
2.350522,-0.0111,0.0111,0.8552,0.86
2.362020,0.7390,0.2901,0.0543,0.80
2.378762,1.7156,0.4890,-0.4065,1.83
2.380773,2.3692,0.8904,-0.6719,2.62
2.395640,1.9088,0.4124,-0.4488,2.00
2.401077,0.4450,-0.6977,-0.0077,0.83
2.411886,-1.1312,-1.3221,0.0378,1.74
2.430271,-2.0123,-1.3189,-0.2028,2.41
2.431384,-2.6374,-0.8645,-0.0208,2.78
2.447791,-2.9000,-0.2879,0.2063,2.92
2.451594,-2.6055,-0.0302,-0.1100,2.61
2.462421,-1.7996,0.1095,-0.6497,1.92
2.478423,-0.9422,0.1782,-1.0227,1.40
2.481290,-0.0359,0.2786,-1.3372,1.37
2.495288,0.7574,0.1022,-0.8341,1.13
2.501784,1.5115,-0.2295,0.4359,1.59
2.512792,1.4790,-0.4225,1.9114,2.45
2.529807,1.5444,-0.2655,2.3829,2.85
2.531844,1.2948,0.1296,2.1381,2.50
2.546358,0.9407,0.6818,2.2783,2.56
2.551998,0.4477,1.8790,2.4021,3.08
2.562762,-0.3520,2.9624,3.5375,4.63
2.580361,-0.6247,3.3302,3.3712,4.78
2.582570,-0.6506,3.6157,1.6930,4.05
2.595333,-0.9179,3.3521,-0.6270,3.53
2.603950,-2.9067,-0.8338,-0.5750,3.08
2.613565,-6.0604,-9.1203,1.2278,11.02
2.629928,-6.6519,-14.9223,1.2001,16.38
2.632888,-5.6658,-15.9248,0.7411,16.92
2.646692,-4.1661,-10.3471,0.9775,11.20
2.653806,-3.7781,-3.3760,3.9737,6.44
2.663525,-3.9906,-0.1128,4.8950,6.32
2.680263,-4.5209,0.2270,3.7813,5.90
2.686615,-5.2594,-0.8878,2.6619,5.96
2.694160,-5.8265,-1.7880,1.9516,6.40
2.706263,-5.6325,-1.8993,1.8315,6.22
2.713567,-4.2684,-1.7445,2.0746,5.06
2.733630,-2.0498,-0.9612,2.4536,3.34
2.749387,1.5958,-0.3489,2.0910,2.65
2.763549,3.1994,-1.4652,0.1415,3.52
2.776692,3.2144,-2.1678,-1.5375,4.17
2.783723,2.8905,-2.9082,-2.4558,4.78
2.798633,2.5276,-3.6641,-3.5233,5.68
2.809233,1.9633,-4.2361,-4.9488,6.80
2.819211,1.1778,-4.4857,-5.9296,7.53
2.824892,0.7130,-4.4998,-5.2553,6.96
2.834062,0.1927,-4.4834,-2.8808,5.33
2.844275,-0.3626,-3.9822,0.1651,4.00
2.860792,-0.7257,-3.0216,1.6905,3.54
2.864554,-0.7113,-1.9514,1.2758,2.44
2.878719,-0.4077,-1.1474,-0.7169,1.41
2.884701,-0.1290,-0.5019,-2.6454,2.70
2.895576,0.1061,-0.0427,-3.9941,4.00
2.914569,0.2642,0.4407,-4.6157,4.64
2.934252,0.3986,1.4242,-4.0506,4.31
2.935161,0.5920,1.7450,-3.6405,4.08
2.947842,0.9535,1.9283,-3.5120,4.12
2.962243,1.5220,2.1710,-3.5086,4.40
2.965211,2.0175,2.5682,-3.6524,4.90
2.977690,2.3949,2.9409,-3.8547,5.41
2.985229,2.5335,3.2729,-4.1573,5.87
2.996021,2.7968,3.5632,-4.4817,6.37
3.014204,2.8828,3.8234,-4.8886,6.84
3.016100,2.8789,4.2074,-4.8234,7.02
3.031365,3.1400,4.4911,-4.8135,7.29
3.036092,3.4867,4.7180,-4.8029,7.58
3.048857,3.5998,4.9124,-4.6246,7.65
3.066147,3.3882,4.9335,-4.3179,7.38
3.066548,3.1454,4.7772,-3.9114,6.93
3.081491,2.9629,4.2799,-3.0447,6.03
3.086625,2.9869,3.5802,-1.7373,4.98
3.096622,2.8375,2.7088,0.3188,3.94
3.112650,2.3335,1.3289,3.9835,4.80
3.116327,1.3486,-1.2588,7.6591,7.88
3.128561,-0.7867,-4.9979,9.4133,10.69
3.137168,-2.9290,-8.6750,10.6127,14.02
3.147178,-3.6041,-10.8297,11.9215,16.50
3.162651,-2.5107,-11.0395,10.8758,15.70
3.166781,-1.4643,-7.9914,7.0413,10.75
3.178973,-0.0641,-3.4239,2.9873,4.54
3.187586,1.5104,0.8475,0.2561,1.75
3.196995,3.1581,3.0616,-0.9596,4.50
3.212248,4.5631,2.5265,-1.6461,5.47
3.217046,5.4004,1.0375,-3.7868,6.68
3.229169,5.3103,-1.7300,-6.7418,8.75
3.238174,5.6867,-6.5761,-8.6981,12.30
3.247700,5.0893,-11.0057,-9.2977,15.28
3.264273,2.6079,-10.8258,-5.8307,12.57
3.267647,-0.5265,-6.2278,1.0172,6.33
3.280390,-3.6990,0.4395,6.3620,7.37
3.295802,-3.3895,5.3296,1.1964,6.43
3.297715,-1.9407,7.9427,-4.1533,9.17
3.312909,-0.3494,8.8219,-6.8310,11.16
3.317945,0.8558,7.7511,-6.7650,10.32
3.329132,1.4894,5.6335,-5.6307,8.10
3.346783,1.6463,2.6219,-3.5613,4.72
3.348380,1.2886,-0.9431,-2.1920,2.71
3.362839,0.5197,-3.6797,-1.0310,3.86
3.368226,-0.4934,-4.6693,-0.6847,4.74
3.379616,-1.4587,-3.8553,-0.6255,4.17
3.394588,-2.8194,-2.0423,-0.1628,3.49
3.398592,-3.8199,0.0521,0.1013,3.82
3.411974,-3.4869,1.3417,-0.3000,3.75
3.418346,-2.8004,1.5683,-0.4885,3.25
3.428924,-2.0627,1.1984,-0.2395,2.40
3.458486,-1.2716,0.8696,0.2119,1.55
3.469310,1.6715,0.2904,-1.5596,2.30
3.479097,1.7974,0.6064,-1.9622,2.73
3.494502,1.5301,1.0464,-1.5969,2.45
3.498947,0.9138,1.2203,-0.8302,1.74
3.512556,0.1645,1.1790,-0.1973,1.21
3.519373,-0.6401,0.8312,0.0265,1.05
3.529230,-1.3986,0.2964,-0.1571,1.44
3.550111,-1.9606,-0.0687,-0.6005,2.05
3.550321,-2.1837,-0.4698,-0.8784,2.40
3.569422,-2.1698,-0.3869,-0.8413,2.36
3.569597,-1.9293,0.0760,-0.3683,1.97
3.580779,-1.3542,0.5720,0.4635,1.54
3.595302,-0.6332,0.9185,1.3036,1.72
3.599655,0.2739,1.0421,2.0503,2.32
3.610183,1.2707,0.6351,2.5530,2.92
3.619751,1.8106,0.2699,2.6740,3.24
3.629991,1.9953,-0.1830,2.6971,3.36
3.646909,1.5672,-0.5062,3.0711,3.48
3.650116,0.8742,-0.6415,3.7732,3.93
3.662904,0.1030,-0.8915,4.4197,4.51
3.671045,-0.9340,-0.8402,4.8462,5.01
3.680179,-1.8190,-0.6367,4.7432,5.12
3.692091,-2.1294,-0.6078,3.9076,4.49
3.707611,-2.1462,-0.6107,2.4783,3.33
3.710877,-2.1183,-0.7341,1.1419,2.52
3.720903,-2.5791,-0.8140,0.1501,2.71
3.734620,-3.2088,-0.9015,-0.2309,3.34
3.746474,-3.7927,-0.9300,-0.0305,3.91
3.750757,-3.8316,-0.7634,0.8340,3.99
3.760826,-3.5777,-0.8184,2.2841,4.32
3.770825,-3.3943,-1.2911,3.6224,5.13
3.780955,-3.9012,-2.6984,3.8159,6.09
3.794442,-4.7292,-3.5146,3.0064,6.61
3.801006,-5.3437,-3.6178,3.1029,7.16
3.811218,-5.6689,-3.5547,3.5496,7.57
3.825775,-5.7129,-3.6398,3.1975,7.49
3.831121,-4.7111,-3.8666,2.6873,6.66
3.843922,-3.0120,-3.3440,2.6550,5.23
3.851442,-0.8834,-2.2269,2.5823,3.52
3.861805,1.3191,-1.3619,2.4987,3.14
3.884647,3.2780,-1.1295,1.9863,4.00
3.884773,4.2801,-1.6245,1.3681,4.78
3.891685,4.5884,-2.3411,0.1005,5.15
3.901991,4.7752,-2.9344,-1.8425,5.90
3.911680,4.5755,-3.1411,-3.2380,6.43
3.926362,3.5830,-3.0210,-4.4844,6.49
3.931768,1.6467,-2.8091,-5.1378,6.08
3.945205,-0.3987,-2.8239,-5.7093,6.38
3.952261,-1.4500,-3.0250,-5.2757,6.25
3.964062,-1.6466,-3.1857,-3.5436,5.04
3.982580,-1.7642,-3.2310,-1.2283,3.88
3.983307,-1.8028,-2.9878,0.7953,3.58
3.997247,-1.3364,-2.5474,0.8349,3.00
4.002684,-0.5140,-1.8017,-0.6781,1.99
4.012780,0.3089,-1.1255,-2.4626,2.73
4.028078,0.9062,-0.3481,-3.9189,4.04
4.032785,1.3880,0.4292,-4.7187,4.94
4.045187,1.7144,1.1733,-4.9271,5.35
4.053388,1.7950,1.7809,-4.6759,5.32
4.063384,1.9872,1.9716,-4.3131,5.14
4.078256,2.1868,1.9981,-4.1116,5.07
4.083108,2.3758,2.0515,-4.2552,5.29
4.094793,2.4364,2.3221,-4.3212,5.48
4.104129,2.4901,2.6108,-4.6886,5.92
4.113696,2.4362,3.0049,-5.0970,6.40
4.128835,2.4049,3.3489,-5.4175,6.81
4.133421,2.3532,3.8728,-5.4945,7.12
4.146485,2.5211,4.3322,-5.4488,7.40
4.153912,2.9096,4.7963,-5.3531,7.75
4.163803,3.3825,5.1998,-5.2651,8.14
4.181627,3.8260,5.5734,-5.0610,8.44
4.183833,4.0809,5.8077,-4.5558,8.43
4.198207,4.0407,5.6404,-3.1910,7.64
4.204449,3.8547,5.2831,-1.6680,6.75
4.214451,3.3313,4.6368,-0.6377,5.74
4.230019,2.5136,3.2492,0.9861,4.22
4.234387,1.7267,0.5717,3.7311,4.15
4.245287,0.0247,-3.5533,7.4322,8.24
4.254646,-2.3579,-8.9098,10.2980,13.82
4.264604,-2.2227,-12.6144,11.2929,17.08
4.280285,-1.3197,-12.4703,9.9316,16.00
4.284572,-0.5550,-9.4397,7.9581,12.36
4.298345,0.3423,-4.7236,4.7655,6.72
4.313126,0.7483,0.6899,1.2656,1.62
4.314921,1.4928,3.2262,-0.4194,3.58
4.329897,3.0233,1.9490,-1.2423,3.81
4.334946,3.6851,0.0263,-3.0750,4.80
4.345363,3.9481,-1.6788,-4.4981,6.22
4.362608,4.0634,-4.8861,-5.1225,8.16
4.365134,4.3612,-9.3046,-5.5322,11.67
4.378578,3.8409,-11.4854,-5.1381,13.16
4.385604,1.4579,-7.6257,-2.4246,8.13
4.395968,-0.7484,-0.6603,2.9513,3.12
4.412251,-2.2359,4.7919,3.0957,6.13
4.415822,-2.1009,7.4263,-2.3534,8.07
4.429312,-0.8450,7.9292,-5.9690,9.96
4.436728,0.2862,6.8481,-7.1104,9.88
4.446285,0.9190,5.2555,-6.4802,8.39
4.461235,1.2540,3.2988,-4.9258,6.06
4.465976,1.4639,0.8562,-3.5783,3.96
4.477981,1.0831,-1.5575,-2.9257,3.49
4.486654,0.1161,-2.6223,-2.5909,3.69
4.496457,-1.1779,-2.7610,-1.9136,3.56
4.513519,-2.9972,-2.5294,-0.5828,3.96
4.516400,-4.4348,-1.2856,0.1474,4.62
4.529363,-5.2762,0.2341,0.7948,5.34
4.537236,-5.0331,1.0043,1.1912,5.27
4.546821,-3.6570,1.0752,1.0701,3.96
4.562810,-1.6498,0.8117,0.4500,1.89
4.567031,0.4566,0.4247,-0.6629,0.91
4.578420,1.7498,0.1792,-1.6450,2.41
4.587122,2.2441,0.2656,-2.0045,3.02
4.596899,2.1121,0.5538,-1.5945,2.70
4.611503,1.5116,0.9085,-0.8342,1.95
4.617132,0.6962,1.1781,0.0979,1.37
4.628905,0.0008,1.1019,0.9564,1.46
4.637959,-0.3389,0.7863,1.4345,1.67
4.647609,-0.5079,0.3520,1.4566,1.58
4.663259,-0.6076,0.0035,1.0604,1.22
4.667389,-0.6870,-0.0821,0.2990,0.75
4.678166,-0.7279,-0.0318,-0.4165,0.84
4.688272,-0.7235,-0.0027,-0.8556,1.12
4.704550,-0.6496,0.2280,-0.9120,1.14
4.716117,-0.4434,0.4930,-0.4825,0.82
4.717415,-0.2152,0.6949,0.3277,0.80
4.741726,0.1401,0.7560,1.2686,1.48
4.759156,0.4302,-0.2491,3.3103,3.35
4.767950,-0.0121,-0.2600,3.5918,3.60
4.778163,-0.8375,-0.0859,3.9017,3.99
4.792097,-1.6615,-0.3112,4.3346,4.65
4.798689,-2.2917,-0.6789,4.1662,4.80
4.809006,-2.5671,-1.1376,3.3459,4.37
4.818374,-2.6064,-1.1904,2.1648,3.59
4.828382,-2.5597,-1.0622,0.9512,2.93
4.843903,-2.8266,-0.9561,0.1868,2.99
4.848663,-2.8710,-0.6606,-0.1983,2.95
4.861648,-2.8366,-0.5380,0.1509,2.89
4.869368,-2.5541,-0.7073,0.8410,2.78
4.878994,-2.3869,-2.0945,1.1953,3.39
4.895521,-2.8626,-3.6422,0.9403,4.73
4.899115,-3.4723,-3.6128,1.0183,5.11
4.911144,-4.0893,-3.0773,1.8255,5.43
4.920053,-4.3089,-2.6906,2.4320,5.63
4.929596,-4.0396,-2.7368,2.6208,5.54
4.956380,-3.4776,-2.6877,2.3911,5.00
4.970237,-0.4814,-0.0860,3.0186,3.06
4.986067,0.8544,0.2854,2.8473,2.99
4.993423,1.8804,0.4359,2.5305,3.18
4.999688,2.6646,0.5240,1.5277,3.12
5.010729,3.1429,0.6172,0.2319,3.21
5.019748,3.5607,-0.0286,-0.9446,3.68
5.029889,3.4073,-1.2937,-2.0108,4.16
5.044456,2.9970,-2.6866,-3.6217,5.41
5.050248,1.8693,-3.5785,-4.5302,6.07
5.061910,-0.0625,-4.1554,-5.6514,7.01
5.071140,-1.7355,-4.3482,-6.3340,7.88
5.080584,-2.3440,-4.0804,-5.1920,7.01
5.093736,-2.8730,-3.3878,-3.1380,5.44
5.101052,-3.0202,-2.7047,-1.1826,4.22
5.111686,-2.6571,-2.0105,0.1571,3.34
5.121654,-1.9822,-1.3582,0.1297,2.41
5.131065,-1.3490,-0.7799,-1.1227,1.92
5.147641,-0.7023,-0.3436,-2.3258,2.45
5.151160,0.0024,-0.0603,-3.4296,3.43
5.166742,0.7945,0.1793,-4.3319,4.41
5.172191,1.3274,0.5126,-4.6986,4.91
5.181051,1.5485,0.8412,-4.3388,4.68
5.193361,1.6975,1.0250,-3.7862,4.27
5.201273,1.8776,1.2260,-3.3857,4.06
5.211632,2.2429,1.4655,-3.4647,4.38
5.227531,2.4208,1.9082,-3.6386,4.77
5.231421,2.4683,2.4260,-3.9352,5.24
5.245534,2.4026,2.8266,-4.3309,5.70
5.251542,2.3809,2.9684,-4.8001,6.13
5.262703,2.3997,3.1212,-5.0843,6.43
5.272176,2.4448,3.3596,-5.1971,6.65
5.281724,2.7157,3.6569,-5.2166,6.93
5.294020,2.8934,4.0576,-5.0794,7.12
5.302706,3.0778,4.4100,-4.6572,7.11
5.312697,3.3087,4.3348,-3.8051,6.65
5.328580,3.3801,4.0391,-2.8223,5.98
5.332478,3.2307,3.6410,-1.8723,5.22
5.346477,2.5024,2.9478,-0.8058,3.95
5.352788,1.5060,1.5034,0.5464,2.20
5.363817,0.0566,-1.1969,3.2105,3.43
5.379759,-1.6979,-4.9703,6.1166,8.06
5.382705,-3.3188,-8.3701,8.5271,12.40
5.395220,-3.3778,-10.6261,10.9544,15.63
5.402984,-2.1445,-9.8864,10.6528,14.69
5.412792,-0.5057,-6.5698,8.3003,10.60
5.428166,0.7190,-2.8020,5.5144,6.23
5.432937,0.9119,1.1339,1.9613,2.44
5.444662,0.6629,3.9761,-0.9810,4.15
5.453809,0.8136,5.0709,-2.4849,5.71
5.463301,1.5418,3.7247,-2.9451,4.99
5.479453,2.0328,0.6430,-4.1024,4.62
5.483589,2.0106,-3.1493,-4.7456,6.04
5.494108,2.1253,-6.9799,-4.9585,8.82
5.504487,1.4587,-8.8389,-4.8935,10.21
5.513558,0.0084,-7.4232,-4.0530,8.46
5.528808,-1.2776,-3.8108,-2.0827,4.53
5.533539,-2.2024,-0.4265,0.8230,2.39
5.546491,-2.0977,2.2483,2.1278,3.74
5.554208,-0.9586,4.1125,0.8980,4.32
5.563656,0.3654,5.2847,-0.3700,5.31
5.579031,1.7644,5.4782,-1.1615,5.87
5.583632,2.6924,4.8411,-1.8503,5.84
5.594019,3.0219,3.5716,-2.3877,5.25
5.611777,3.2990,1.8652,-2.4784,4.53
5.614115,3.3785,-0.2285,-2.4566,4.18
5.627157,2.9135,-2.4948,-2.3931,4.52
5.634347,1.1812,-3.7597,-2.4771,4.65
5.646065,-1.2095,-3.2581,-2.8310,4.48
5.656810,-3.4201,-1.7959,-2.8191,4.78
5.664155,-4.8164,-0.2869,-2.1096,5.27
